or else,,Nếu không thì,conj,Hurry up or else you'll miss the train. (Nhanh lên nếu không bạn sẽ lỡ tàu),Ngữ pháp: Giới từ & Liên từ
or so,,Hơn một chút,adv,It costs $20 or so. (Nó tốn khoảng 20 đô),Ngữ pháp: Giới từ & Liên từ
except / except for / aside from / apart from,,Ngoại trừ,prep/conj,"Except for John, everyone arrived on time. (Ngoại trừ John, mọi người đến đúng giờ)",Ngữ pháp: Giới từ & Liên từ
among / of all / of the,,Trong số (N số nhiều),prep,"Among the options, this one is best. (Trong số các lựa chọn, cái này tốt nhất)",Ngữ pháp: Giới từ & Liên từ
according to (the),,Theo như (N/Ving),prep,"According to the report, sales increased. (Theo báo cáo, doanh số đã tăng)",Ngữ pháp: Giới từ & Liên từ
as good as,,Hầu như,gần như,prep,Ngữ pháp: Giới từ & Liên từ
as if / as though,,Như thể là,conj,He talks as if he knew everything. (Anh ta nói như thể biết mọi thứ),Ngữ pháp: Giới từ & Liên từ
within,,Trong vòng (thời gian),prep,You must finish within 2 hours. (Bạn phải hoàn thành trong vòng 2 giờ),Ngữ pháp: Giới từ & Liên từ
without + n/ving,,Không có cái gì,prep,"Without your help, I couldn't finish. (Không có bạn giúp, tôi không thể hoàn thành)",Ngữ pháp: Giới từ & Liên từ
assuming that,,Giả sử là,conj,"Assuming that he agrees, we can start. (Giả sử anh ấy đồng ý, chúng ta có thể bắt đầu)",Ngữ pháp: Giới từ & Liên từ
rather than,,Thích làm gì hơn,prep,I prefer working rather than resting. (Tôi thích làm việc hơn là nghỉ),Ngữ pháp: Giới từ & Liên từ
up to,,Lên đến (N/Ving),prep,Up to 50 people joined the event. (Có tới 50 người tham gia sự kiện),Ngữ pháp: Giới từ & Liên từ
as of,,Vào lúc (thời gian),prep,"As of today, the rule changes. (Tính từ hôm nay, quy định thay đổi)",Ngữ pháp: Giới từ & Liên từ
between a and b,,Giữa A và B,prep,The meeting is between Monday and Wednesday. (Cuộc họp diễn ra giữa thứ Hai và thứ Tư),Ngữ pháp: Giới từ & Liên từ
together with / along with b,,A cùng với B,prep,"The CEO, together with his team, arrived early. (Giám đốc cùng với đội của mình đến sớm)",Ngữ pháp: Giới từ & Liên từ
first… and then,,Đầu tiên… sau đó,conj,First finish your homework and then play. (Đầu tiên làm bài tập rồi hãy chơi),Ngữ pháp: Giới từ & Liên từ
in favour of,,Để ủng hộ (N/Ving),prep,They voted in favour of the plan. (Họ bỏ phiếu ủng hộ kế hoạch),Ngữ pháp: Giới từ & Liên từ
ahead of,,Trước (N/cụm N),prep,He arrived ahead of schedule. (Anh ấy đến sớm hơn dự kiến),Ngữ pháp: Giới từ & Liên từ
budget cuts,/ˈbʌdʒɪt kʌts/,Cắt giảm ngân sách,phrase,The company announced budget cuts due to financial difficulties.,Cụm từ thông dụng
shoestring budget,/ˈʃuːˌstrɪŋ ˈbʌdʒɪt/,Ngân sách eo hẹp,phrase,They managed to launch the startup on a shoestring budget.,Cụm từ thông dụng
escalating costs,/ˈɛskəˌleɪtɪŋ ˈkɒsts/,Chi phí leo thang,phrase,Escalating costs of raw materials are impacting our profit margins.,Cụm từ thông dụng
lower costs,/ˈloʊər kɒsts/,Giảm chi phí,phrase,We are looking for ways to lower costs without compromising quality.,Cụm từ thông dụng
exorbitant price,/ɪɡˈzɔːrbɪtənt praɪs/,Giá cả đắt đỏ,phrase,The exorbitant price of the antique vase made it unaffordable.,Cụm từ thông dụng
broaden knowledge,/ˈbrɔːdən ˈnɒlɪdʒ/,Mở rộng kiến thức,phrase,Reading widely helps to broaden your knowledge.,Cụm từ thông dụng
acquire knowledge,/əˈkwaɪər ˈnɒlɪdʒ/,Tiếp thu kiến thức,phrase,She is eager to acquire knowledge in the field of artificial intelligence.,Cụm từ thông dụng
hands-on experience,/ˈhændz ɒn ɪkˈspɪəriəns/,Kinh nghiệm thực tiễn,phrase,Internships provide valuable hands-on experience.,Cụm từ thông dụng
a lack of experience,/ə læk əv ɪkˈspɪəriəns/,Thiếu kinh nghiệm,phrase,His resume showed a lack of experience in management.,Cụm từ thông dụng
a wealth of experience,/ə wɛlθ əv ɪkˈspɪəriəns/,Nhiều kinh nghiệm,phrase,The new manager has a wealth of experience in the industry.,Cụm từ thông dụng
a tough decision,/ə tʌf dɪˈsɪʒən/,Quyết định khó khăn,phrase,It was a tough decision whether to accept the job offer or not.,Cụm từ thông dụng
a hasty decision,/ə ˈheɪsti dɪˈsɪʒən/,"Quyết định vội vã, hấp tấp",phrase,Making a hasty decision can lead to regrets.,Cụm từ thông dụng
go into partnership,/ɡoʊ ˈɪntuː ˈpɑːrtnərʃɪp/,Trở thành đối tác,phrase,They decided to go into partnership to start their own business.,Cụm từ thông dụng
conduct a survey,/kənˈdʌkt ə ˈsɜːrveɪ/,Tiến hành một cuộc khảo sát,phrase,We will conduct a survey to gather customer feedback.,Cụm từ thông dụng
prospective employees,/prəˈspɛktɪv ˌɛmˈplɔɪiːz/,Những nhân viên tiềm năng,phrase,The company is interviewing prospective employees next week.,Cụm từ thông dụng
comply with new regulations,/kəmˈplaɪ wɪð ˈnjuː ˌrɛɡjuˈleɪʃənz/,Tuân thủ những quy định mới,phrase,All businesses must comply with new regulations regarding data privacy.,Cụm từ thông dụng
improve productivity,/ɪmˈpruːv ˌprɒdʌkˈtɪvəti/,Tăng năng suất công việc,phrase,Investing in new technology can help improve productivity.,Cụm từ thông dụng
a highly competitive market,/ə ˈhaɪli kəmˈpɛtətɪv ˈmɑːrkɪt/,Thị trường cạnh tranh khắc nghiệt,phrase,Entering a highly competitive market requires a strong business plan.,Cụm từ thông dụng
alleviate traffic congestion,/əˈliːvieɪt ˈtræfɪk kənˈdʒɛstʃən/,Giảm tình trạng kẹt xe,phrase,New public transport options aim to alleviate traffic congestion.,Cụm từ thông dụng
generate profits,/ˈdʒɛnəreɪt ˈprɒfɪts/,Tạo ra lợi nhuận,phrase,The new product is expected to generate significant profits.,Cụm từ thông dụng
state-of-the-art facilities,/steɪt əv ðiː ɑːrt fəˈsɪlətiz/,Những trang thiết bị hiện đại,phrase,The new research center boasts state-of-the-art facilities.,Cụm từ thông dụng
confidential documents,/ˌkɒnfɪˈdɛnʃəl ˈdɒkjumənts/,Tài liệu bảo mật,phrase,Please keep these confidential documents secure.,Cụm từ thông dụng
incidental expenses,/ˌɪnsɪˈdɛntəl ɪkˈspɛnsɪz/,Chi phí phát sinh,phrase,We need to account for incidental expenses when budgeting for the event.,Cụm từ thông dụng
multinational conglomerates,/ˌmʌltiˈnæʃənəl kənˈɡlɒmərɪts/,Những tập đoàn đa quốc gia,phrase,Multinational conglomerates have a significant impact on the global economy.,Cụm từ thông dụng
abide by the new changes,/əˈbaɪd baɪ ðə ˈnjuː ˈtʃeɪndʒɪz/,Tuân thủ những thay đổi mới,phrase,Employees are expected to abide by the new changes in company policy.,Cụm từ thông dụng
enhance leadership skills,/ɪnˈhɑːns ˈliːdərʃɪp skɪlz/,Nâng cao kỹ năng lãnh đạo,phrase,The workshop is designed to enhance leadership skills.,Cụm từ thông dụng
embark on an enterprise,/ɪmˈbɑːrk ɒn ən ˈɛntərpraɪz/,Bắt đầu/vận hành một doanh nghiệp,phrase,She decided to embark on an enterprise after years of planning.,Cụm từ thông dụng
skyrocketing rents,/ˈskaɪˌrɒkɪtɪŋ ˈrɛnts/,Giá thuê tăng vọt,phrase,Skyrocketing rents in the city are making it difficult for people to afford housing.,Cụm từ thông dụng
meet criteria,/miːt kraɪˈtɪəriə/,Đáp ứng tiêu chí,phrase,Candidates must meet specific criteria to be considered for the scholarship.,Cụm từ thông dụng
reduce energy consumption,/rɪˈdjuːs ˈɛnərdʒi kənˈsʌmpʃən/,Giảm tiêu thụ năng lượng,phrase,Implementing energy-efficient measures can reduce energy consumption.,Cụm từ thông dụng
raise company morale,/ˈreɪz ˈkʌmpəni məˈrɑːl/,Nâng cao tinh thần công ty,phrase,Team-building activities are a good way to raise company morale.,Cụm từ thông dụng
the economy remains extremely fragile,/ðə ɪˈkɒnəmi rɪˈmeɪnz ɪkˈstriːmli ˈfrædʒaɪl/,Nền kinh tế còn nhiều yếu kém,phrase,"Despite some improvements, the economy remains extremely fragile.",Cụm từ thông dụng
have some scheduling conflicts,/hæv sʌm ˈskɛdʒuːlɪŋ ˈkɒnflɪkts/,Bị trùng lịch,phrase,I have some scheduling conflicts and cannot attend the meeting on Tuesday.,Cụm từ thông dụng
produce accessories,/prəˈdjuːs əkˈsɛsəriz/,Sản xuất các phụ kiện,phrase,The factory specializes in producing accessories for electronics.,Cụm từ thông dụng
postpone interviews,/pəʊstˈpoʊn ˈɪntərvjuːz/,Hoãn phỏng vấn,phrase,We have to postpone interviews due to unforeseen circumstances.,Cụm từ thông dụng
lay off staff,/ˈleɪ ɒf stɑːf/,Sa thải nhân viên,phrase,The company had to lay off staff as a result of the economic downturn.,Cụm từ thông dụng
reduce overhead costs,/rɪˈdjuːs ˈoʊvərˌhɛd ˈkɒsts/,Giảm chi phí chung,phrase,Streamlining operations can help reduce overhead costs.,Cụm từ thông dụng
performance appraisal,/pərˈfɔːrməns əˈpreɪzəl/,Đánh giá hiệu suất làm việc,phrase,The annual performance appraisal helps employees identify areas for improvement.,Cụm từ thông dụng
build a beneficial partnership,/bɪld ə ˌbɛnɪˈfɪʃəl ˈpɑːrtnərʃɪp/,Xây dựng quan hệ đối tác có lợi,phrase,We aim to build a beneficial partnership with our suppliers.,Cụm từ thông dụng
apparel outlet,/əˈpærəl ˈaʊtlɛt/,Cửa hàng quần áo,phrase,She found a great deal at the new apparel outlet.,Cụm từ thông dụng
curtail training programs,/kərˈteɪl ˈtreɪnɪŋ ˈproʊɡræmz/,Cắt giảm chương trình đào tạo,phrase,"Due to budget constraints, the company had to curtail training programs.",Cụm từ thông dụng
a period of economic stagnation,/ə ˈpɪəriəd əv ˌiːkəˈnɒmɪk stæɡˈneɪʃən/,Thời kỳ kinh tế đình trệ,phrase,The country experienced a prolonged period of economic stagnation.,Cụm từ thông dụng
exceeding expectations,/ɪkˈsiːdɪŋ ˌɛkspɛkˈteɪʃənz/,Vượt xa mong đợi,phrase,The team's performance was exceeding expectations.,Cụm từ thông dụng
keep out of the reach of children,/kiːp aʊt əv ðə riːtʃ əv ˈtʃɪldrən/,Để xa tầm tay trẻ em,phrase,Always keep medicines out of the reach of children.,Cụm từ thông dụng
work around the clock,/wɜːrk əˈraʊnd ðə ˈklɒk/,Làm việc suốt ngày đêm,phrase,The engineers worked around the clock to fix the problem.,Cụm từ thông dụng
communications infrastructure,/kəˌmjuːnɪˈkeɪʃənz ˈɪnfrəˌstrʌktʃər/,Cơ sở hạ tầng truyền thông,phrase,The government is investing in improving the country's communications infrastructure.,Cụm từ thông dụng
located in the outskirts,/ˈloʊkeɪtɪd ɪn ði ˈaʊtskɜːrts/,Nằm ở ngoại ô,phrase,The new warehouse is located in the outskirts of the city.,Cụm từ thông dụng
be temporarily out of stock,/bi ˈtɛmpərərɪli aʊt əv stɒk/,Tạm thời hết hàng,phrase,"This popular item is temporarily out of stock, but we expect more next week.",Cụm từ thông dụng
foster exports,/ˈfɒstər ˈɛkspɔːrts/,Thúc đẩy lượng xuất khẩu,phrase,The government introduced new policies to foster exports.,Cụm từ thông dụng
an invalidated contract,/ən ˈɪnvælɪdeɪtɪd ˈkɒntrækt/,Hợp đồng vô hiệu,phrase,The discovery of fraud led to an invalidated contract.,Cụm từ thông dụng
draw up a blueprint,/drɔː ʌp ə ˈbluːprɪnt/,Vẽ một bản thiết kế,phrase,The architect will draw up a blueprint for the new building.,Cụm từ thông dụng
the renovation of a building,/ðə ˌrɛnəˈveɪʃən əv ə ˈbɪldɪŋ/,Đổi mới/cải tạo tòa nhà,phrase,The renovation of a building can be a costly but rewarding process.,Cụm từ thông dụng
be understaffed,/bi ˈʌndərstɑːft/,Thiếu nhân viên,phrase,"The hospital is currently understaffed, leading to longer wait times.",Cụm từ thông dụng
customer satisfaction survey,/ˈkʌstəmər ˌsætɪsˈfækʃən ˈsɜːrveɪ/,Khảo sát sự hài lòng của khách hàng,phrase,We regularly conduct a customer satisfaction survey to gauge our performance.,Cụm từ thông dụng
available upon request,/əˈveɪləbəl əˈpɒn rɪˈkwɛst/,Có sẵn theo yêu cầu,phrase,Detailed specifications are available upon request.,Cụm từ thông dụng
annual turnover,/ˈænjuəl ˈtɜːrnˌoʊvər/,Doanh thu hằng năm,phrase,The company's annual turnover increased by 15% this year.,Cụm từ thông dụng
break off negotiations,/breɪk ɒf nɪˌɡoʊʃiˈeɪʃənz/,Ngừng đàm phán,phrase,They decided to break off negotiations after failing to reach an agreement.,Cụm từ thông dụng
cease trading,/siːs ˈtreɪdɪŋ/,Ngừng giao dịch/buôn bán,phrase,The company announced it would cease trading due to financial difficulties.,Cụm từ thông dụng
launch a new product,/lɔːntʃ ə ˈnjuː ˈprɒdʌkt/,Ra mắt sản phẩm mới,phrase,The company plans to launch a new product next quarter.,Cụm từ thông dụng
a matter of speculation,/ə ˈmætər əv ˌspekjəˈleɪʃn/,= supposition: dự đoán,noun phrase,His future with the company is still a matter of speculation. (Tương lai của anh ấy ở công ty vẫn còn là vấn đề dự đoán.),Từ đồng nghĩa: Phần 1
abroad,/əˈbrɔːd/,= oversea: nước ngoài,adverb,She plans to study abroad next year. (Cô ấy dự định đi du học nước ngoài vào năm sau.),Từ đồng nghĩa: Phần 1
abrupt,/əˈbrʌpt/,= sudden: đột ngột,adjective,There was an abrupt change in the weather. (Thời tiết đã thay đổi một cách đột ngột.),Từ đồng nghĩa: Phần 1
abstract,/ˈæbstrækt/,= recondite: trừu tượng khó hiểu,adjective,The professor gave a very abstract explanation. (Giáo sư đã đưa ra một lời giải thích rất trừu tượng khó hiểu.),Từ đồng nghĩa: Phần 1
absurd,/əbˈsɜːrd/,= ridiculous: vô lý,adjective,His excuse was completely absurd. (Lời biện minh của anh ta hoàn toàn vô lý.),Từ đồng nghĩa: Phần 1
acceleration,/ækˌseləˈreɪʃn/,= speeding up: tăng tốc,noun,The car showed strong acceleration on the highway. (Chiếc xe thể hiện khả năng tăng tốc mạnh trên đường cao tốc.),Từ đồng nghĩa: Phần 1
accentuate,/əkˈsentʃueɪt/,= emphasize: làm nổi bật = nhấn mạnh,verb,The lighting accentuates the beauty of the painting. (Ánh đèn làm nổi bật vẻ đẹp của bức tranh.),Từ đồng nghĩa: Phần 1
acceptable,/əkˈseptəbl/,= permissible: chấp nhận được = cho phép,adjective,Your proposal is acceptable to the board. (Đề xuất của bạn được ban giám đốc chấp nhận.),Từ đồng nghĩa: Phần 1
accessible,/əkˈsesəbl/,= easy to reach: tiếp cận = dễ đạt được,adjective,The museum is easily accessible by bus. (Bảo tàng rất dễ tiếp cận bằng xe buýt.),Từ đồng nghĩa: Phần 1
accommodate,/əˈkɑːmədeɪt/,= allow for: chứa = cho phép,verb,This room can accommodate up to fifty people. (Phòng này có thể chứa tới năm mươi người.),Từ đồng nghĩa: Phần 1
accompany,/əˈkʌmpəni/,= join: đi cùng = tham gia,verb,She will accompany you to the meeting. (Cô ấy sẽ đi cùng bạn tới cuộc họp.),Từ đồng nghĩa: Phần 1
accomplished,/əˈkɑːmplɪʃt/,= achieved: hoàn thành = đạt,adjective,He is an accomplished musician. (Anh ấy là một nhạc sĩ đã đạt được nhiều thành tựu.),Từ đồng nghĩa: Phần 1
accorded,/əˈkɔːrdɪd/,= granted: dành được,verb,She was accorded special treatment. (Cô ấy được dành cho sự đối xử đặc biệt.),Từ đồng nghĩa: Phần 1
accordingly,/əˈkɔːrdɪŋli/,= consequently: một cách tương ứng = do đó,adverb,"The plan failed, and accordingly we had to start over. (Kế hoạch thất bại và do đó chúng tôi phải bắt đầu lại.)",Từ đồng nghĩa: Phần 1
account for,/əˈkaʊnt fɔːr/,= explain: giải thích,phrasal verb,How do you account for this mistake? (Bạn giải thích lỗi này như thế nào?),Từ đồng nghĩa: Phần 1
accumulate,/əˈkjuːmjəleɪt/,= collect: tích lũy = thu thập,verb,He gradually accumulated enough money to buy a house. (Anh ấy dần dần tích lũy đủ tiền để mua nhà.),Từ đồng nghĩa: Phần 1
accurately,/ˈækjərətli/,= precisely: chính xác,adverb,The data must be recorded accurately. (Dữ liệu phải được ghi lại một cách chính xác.),Từ đồng nghĩa: Phần 1
achieve,/əˈtʃiːv/,= subject to: đạt = hướng tới,verb,She worked hard to achieve her goals. (Cô ấy làm việc chăm chỉ để đạt được mục tiêu của mình.),Từ đồng nghĩa: Phần 1
acknowledge,/əkˈnɑːlɪdʒ/,= concede: thừa nhận,verb,He finally acknowledged his mistake. (Cuối cùng anh ấy cũng thừa nhận lỗi của mình.),Từ đồng nghĩa: Phần 1
acquire,/əˈkwaɪər/,= obtain: đạt được,verb,She acquired a good knowledge of English. (Cô ấy đã đạt được kiến thức tiếng Anh tốt.),Từ đồng nghĩa: Phần 1
actually,/ˈæktʃuəli/,= truly: thực sự,adverb,I actually enjoyed the movie. (Tôi thực sự thích bộ phim đó.),Từ đồng nghĩa: Phần 1
adapted,/əˈdæptɪd/,= modified: thích ứng/ làm rõ,adjective,The book was adapted for young readers. (Cuốn sách được chỉnh sửa cho phù hợp với độc giả nhỏ tuổi.),Từ đồng nghĩa: Phần 1
added,/ˈædɪd/,= extra: thêm,adjective,There is an added fee for late registration. (Có một khoản phí thêm cho việc đăng ký muộn.),Từ đồng nghĩa: Phần 1
adhere,/ədˈhɪr/,= stick together: bám/ dính vào nhau,verb,The label will not adhere to a wet surface. (Nhãn dán sẽ không bám vào bề mặt ướt.),Từ đồng nghĩa: Phần 1
adjacent,/əˈdʒeɪsnt/,= nearby: liền kề = lân cận,adjective,They stayed in adjacent rooms. (Họ ở trong những phòng liền kề nhau.),Từ đồng nghĩa: Phần 1
adjunction,/æˈdʒʌŋkʃn/,= appendage: hỗ trợ = phụ,noun,The garage is an adjunction to the main house. (Nhà để xe là phần phụ được gắn thêm vào ngôi nhà chính.),Từ đồng nghĩa: Phần 1
adjusted,/əˈdʒʌstɪd/,= modificated: điều chỉnh,adjective,The figures have been adjusted for inflation. (Các con số đã được điều chỉnh theo lạm phát.),Từ đồng nghĩa: Phần 1
admit,/ədˈmɪt/,= let in: nhận = cho phép vào trong,verb,They refused to admit him to the club. (Họ từ chối cho anh ấy vào câu lạc bộ.),Từ đồng nghĩa: Phần 1
adorn,/əˈdɔːrn/,= decorate: tô điểm,verb,Flowers adorned the entrance to the hall. (Những bông hoa tô điểm cho lối vào hội trường.),Từ đồng nghĩa: Phần 1
advance,/ədˈvæns/,= improvement: cải thiện,noun,There has been a major advance in technology. (Đã có một bước cải thiện lớn trong công nghệ.),Từ đồng nghĩa: Phần 1
advanced,/ədˈvænst/,= progressive: tiên tiến,adjective,She is taking an advanced English course. (Cô ấy đang học một khóa tiếng Anh nâng cao.),Từ đồng nghĩa: Phần 1
advent,/ˈædvent/,= arrival: đến,noun,The advent of the internet changed everything. (Sự xuất hiện của internet đã thay đổi mọi thứ.),Từ đồng nghĩa: Phần 1
adverse,/ˈædvɜːrs/,= negative: tiêu cực,adjective,They had to work in adverse conditions. (Họ phải làm việc trong những điều kiện tiêu cực.),Từ đồng nghĩa: Phần 1
advocating,/ˈædvəkeɪtɪŋ/,= recommending: ủng hộ = gợi ý,verb,She is advocating changes in the law. (Cô ấy đang ủng hộ việc thay đổi luật.),Từ đồng nghĩa: Phần 1
affection,/əˈfekʃn/,= fondness: tình cảm/ có hứng thú,noun,He shows great affection for his children. (Anh ấy thể hiện tình cảm sâu sắc với các con.),Từ đồng nghĩa: Phần 1
affluence,/ˈæfluəns/,= wealth: sung túc = giàu,noun,The family lived in affluence. (Gia đình đó sống trong sự sung túc.),Từ đồng nghĩa: Phần 1
afford,/əˈfɔːrd/,= provide/purchase/originate/require: đủ khả năng yêu cầu để làm gì,verb,We cannot afford to make another mistake. (Chúng ta không đủ khả năng để mắc thêm sai lầm nào nữa.),Từ đồng nghĩa: Phần 1
aggravating,/ˈæɡrəveɪtɪŋ/,= irritating: khó chịu,adjective,The noise outside is extremely aggravating. (Tiếng ồn bên ngoài cực kỳ khó chịu.),Từ đồng nghĩa: Phần 1
agile,/ˈædʒaɪl/,= nimble: nhanh nhẹn,adjective,Monkeys are very agile animals. (Khỉ là những loài động vật rất nhanh nhẹn.),Từ đồng nghĩa: Phần 1
agitated,/ˈædʒɪteɪtɪd/,= disturbed: quấy rầy,adjective,He became agitated when he heard the news. (Anh ấy trở nên bồn chồn khi nghe tin.),Từ đồng nghĩa: Phần 1
alarming,/əˈlɑːrmɪŋ/,= upsetting: báo động/ gây khó chịu,adjective,The rise in unemployment is alarming. (Tỷ lệ thất nghiệp tăng là điều đáng báo động.),Từ đồng nghĩa: Phần 1
allocates,/ˈæləkeɪts/,= designates: phân bổ = chỉ định,verb,The company allocates funds for staff training. (Công ty phân bổ ngân sách cho việc đào tạo nhân viên.),Từ đồng nghĩa: Phần 1
altered,/ˈɔːltərd/,= changed: thay đổi,adjective,The plan was altered at the last minute. (Kế hoạch đã bị thay đổi vào phút chót.),Từ đồng nghĩa: Phần 1
alternative,/ɔːlˈtɜːrnətɪv/,= different: thay thế/ khác nhau,adjective,We need an alternative solution. (Chúng ta cần một giải pháp thay thế.),Từ đồng nghĩa: Phần 1
ambition,/æmˈbɪʃn/,= goal: mục tiêu = tham vọng,noun,His ambition is to become a doctor. (Tham vọng của anh ấy là trở thành bác sĩ.),Từ đồng nghĩa: Phần 2
amenity,/əˈmiːnəti/,= facilities: cơ sở hạ tầng,noun,The hotel offers many amenities. (Khách sạn cung cấp nhiều tiện nghi.),Từ đồng nghĩa: Phần 2
